metadata_id, metadata_pid, genre, resource_type
2063,uva-lib:1003306,,Cartographic
2064,uva-lib:1003307,,Cartographic
2065,uva-lib:1003308,,Cartographic
2066,uva-lib:1003309,,Cartographic
2067,uva-lib:1003310,,Cartographic
2068,uva-lib:1003311,,Cartographic
2069,uva-lib:1003312,,Cartographic
2070,uva-lib:1003313,,Cartographic
2071,uva-lib:1003314,,Cartographic
2072,uva-lib:1003315,,Cartographic
2073,uva-lib:1003316,,Cartographic
2074,uva-lib:1003317,,Cartographic
2075,uva-lib:1003318,,Cartographic
2076,uva-lib:1003319,,Cartographic
2077,uva-lib:1003320,,Cartographic
2079,uva-lib:1003321,,Cartographic
2080,uva-lib:1003322,,Cartographic
2082,uva-lib:1003323,,Cartographic
2083,uva-lib:1003324,,Cartographic
2084,uva-lib:1003325,,Cartographic
2085,uva-lib:1003326,,Cartographic
2086,uva-lib:1003327,,Cartographic
2087,uva-lib:1003328,,Cartographic
2088,uva-lib:1003329,,Cartographic
2089,uva-lib:1003330,,Cartographic
2090,uva-lib:1003331,,Cartographic
2091,uva-lib:1003332,,Cartographic
2092,uva-lib:1003333,,Cartographic
2093,uva-lib:1003334,,Cartographic
2094,uva-lib:1003335,,Cartographic
2095,uva-lib:1003336,,Cartographic
2096,uva-lib:1003337,,Cartographic
2097,uva-lib:1003338,,Cartographic
2098,uva-lib:1003339,,Cartographic
2099,uva-lib:1003340,,Cartographic
2100,uva-lib:1003341,,Cartographic
2101,uva-lib:1003342,,Cartographic
2102,uva-lib:1003343,,Cartographic
2103,uva-lib:1003344,,Cartographic
2104,uva-lib:1003345,,Cartographic
2105,uva-lib:1003346,,Cartographic
2106,uva-lib:1003347,,Cartographic
2107,uva-lib:1003348,,Cartographic
2108,uva-lib:1003349,,Cartographic
2109,uva-lib:1003350,,Cartographic
2110,uva-lib:1003351,,Cartographic
2111,uva-lib:1003352,,Cartographic
2112,uva-lib:1003353,,Cartographic
2113,uva-lib:1003354,,Cartographic
2114,uva-lib:1003355,,Cartographic
2115,uva-lib:1003356,,Cartographic
2116,uva-lib:1003357,,Cartographic
2117,uva-lib:1003358,,Cartographic
2118,uva-lib:1003359,,Cartographic
2119,uva-lib:1003360,,Cartographic
2120,uva-lib:1003361,,Cartographic
2121,uva-lib:1003362,,Cartographic
2122,uva-lib:1003363,,Cartographic
